title	embed_code	views	likes	upload_date	summary
남매들 1부 🎙️ | AKMU 모두의 남매 뭐든 해 EP.5	https://www.youtube.com/embed/mdorfPpv-Zs	585,672	19,254	2023-11-28	우리 오빠들이 대한민국 대표 남매로 기준을 정해 보려고 합니다 우리 오빠들이 세상을 먼저 경험한 것이 도합 10년인데 우리가 어떻게 보면 더 좋은 콘텐츠를 선택할 수 있는지 질문을 하겠습니다 우리가 어떻게 생각하는지 질문을 하겠습니다 우리가 어떻게 생각하는지 질문을 하겠습니다 우리가 어떻게 생각하는지 질문을 하겠습니다 우리가 어떻게 생각하는지 질문을 하겠습니다 우리가 어떻게 생각
"진짜로 모여버린 강약약약 파김치갱.. ""확 담가버릴까요?"" (feat. 빠니보틀, 곽튜브, 키드밀리) [라면꼰대5] EP.04"	https://www.youtube.com/embed/LJrI1BAEZKw	668,241	10,333	2023-11-28	우리가 어떻게 하면 더 좋은 것 같아 우리가 이렇게 하는 것이 좋은 것 같아 우리가 이렇게 하는 것이 좋은 것 같아 우리가 이렇게 하는 것이 좋은 것 같아 우리가 이렇게 하는 것이 좋은 것 같아 우리가 이렇게 하는 것이 좋은 것 같아 우리가 이렇게 하는 것이 좋은 것 같아 우리가 이렇게 하는 것이 좋은 것 
＂어떻게 이렇게 노래를...!＂ 규현에게 최고의 감동을 선사해 준 순수 그 자체의 무대🎻 68호 가수의 '미운오리새끼'｜싱어게인3｜JTBC 231130 방송 외	https://www.youtube.com/embed/f8fUpmZRshY	397,509	5,636	2023-11-30	68호 가수는 노래를 할 때 감정을 꾸밀 줄도 모르고 감정의 이동이 너무 잔잔하고 고요해서 느껴지는 게 아니라 스며 드는 순수한 사람이다.
TAEYEON 태연 'To. X' MV	https://www.youtube.com/embed/5_n6t9G2TUQ	1,863,465	170,072	2023-11-27	To. X 그 좋아하던 립스틱 싫단 말에 버린 널 좋아했던 만큼 다 맞추려 했지만 내 일기가 재미없어진 이유 내가 없어진 나의 매일들은 허전해 좀 이상해 왜 둘 사이에 너만 너만 보이는 걸까 난 까다롭고 힘든 아이라 그런 피곤한 생각만 한대 오늘 나눈 문자 속에 새로 산 티셔츠 그 얘기뿐이야 이제야 난 알 것
요요 제대로 온 해성이... 훠궈 무한리필 해주기!!!	https://www.youtube.com/embed/4YkGdV8jlHQ	324,387	5,025	2023-11-29	하이디라오의 가장 중요한 포인트는 손으로 직접 늘리는 수타면이다. 그래서 집에서 직접 만들어 먹기로 했다. 이렇게 반죽해서 뚜껑을 덮어서 숙성을 시키고 다시 한번 반죽을 한다. 이렇게 해서 완성했다. 이렇게 해서 완성했다. 아 진짜 맛있다 고기 한번 먹어보자 고기가 진짜 맛있다 고기가 진짜 맛있다 고기가 진짜 맛있다 고기가 진짜 맛있다 고기가 진짜 
✈️재영아 한국으로 다시 돌아갈래?  [후쿠오카 여행 1화]	https://www.youtube.com/embed/3pG8Sp4gcKc	348,901	6,700	2023-11-28	여행을 가면 옷을 많이 가져가는 것은 의미가 없고 옷을 많이 가져가는 것은 여행의 개념이 좀 다른 것 같아 쇼핑을 할 때 옷을 하나 사면 좋겠다고 생각한다.
[#습콕📌] 철저한 준비에 그렇지 못한 입담 아슬아슬 김승수 소개팅💕 #미운우리새끼 #MyLittleOldBoy #SBSenter	https://www.youtube.com/embed/fUumL5J3fyk	672,253	5,823	2023-11-27	우리 아들이 좋아하는 음식이 있냐고 묻자 와인을 좋아하는 것 같다고 말했다.
＂경연 프로 그만 나오세요＂ 임재범이 평가 보이콧(?) 선언한 실력자! 27호 가수의 'Make Up'｜싱어게인3｜JTBC 231130 방송 외	https://www.youtube.com/embed/jhu5mHXRFWw	607,707	7,755	2023-11-30	노래를 처음 시작하고 계속 흐르는 동안에 선입견을 가지고 계속 지켜봤는데 너무 잘하셔서 감사하다고 말했다.
유승호X뷔 런닝맨 특급 만남 성사 기념 비하인드 인터뷰💜💛 #런닝맨 #RunningMan | SBSNOW	https://www.youtube.com/embed/7HyVai4lDU4	322,371	22,808	2023-11-30	방탄 소년단의 노래 중 런닝맨 최 멤버가 아직도 하아 님인지 묻자 양세찬 형님으로 바뀌었다고 답했다.
‼️비상‼️ 은우네 집에 빵꾸가 생겼어요😲 [슈돌 유튜브] KBS 231128 방송	https://www.youtube.com/embed/b1yPpcCQ9qA	537,612	10,320	2023-11-29	은우가 화장실을 편하게 생각하길 바라는 마음을 담아 은우 전형 핑크 화장실을 만들어 줬는데 잘 하려고 하는 것 같아 아빠가 좋아 하는 것 같아 나도 같이 먹어 볼까 하고 생각을 했다.
[EN]🚨제작비 한도 초과 위기🚨 평양냉면 얼마까지 먹어봤니? 겨울엔 냉면! (feat. 수육, 편육, 불고기, 어복쟁반, 녹두전) [둘이 왔어요 EP128]	https://www.youtube.com/embed/0Kscnrj4vp4	406,471	6,797	2023-11-29	김 피디는 고기가 너무 부드럽고 맛이 있다고 했다.
미미한 습관이 중요해요, 18평 빌라에 사는 11년차 주부 | 전국살림자랑 ep.29	https://www.youtube.com/embed/19RT2PTGJ-c	252,942	3,283	2023-11-29	청소를 할 때 세제 찌꺼기가 많이 생겨서 청소 용품을 모아 놓고 청소를 할 때 세제를 한번 더 뿌려서 청소를 하고 있다. 청소를 할 때 세제를 많이 쓰지 않아도 되고 세제를 잘 쓸 수 있는 장점이 있다.
살림 여왕 김나영의 꿀팁 가득한 랜선 집들이 중간 점검🙌🏼	https://www.youtube.com/embed/jh7d1uRU7zA	283,336	5,463	2023-11-29	청소기 청소를 어떻게 하냐고 묻는 사람들에게 청소를 어떻게 하냐고 묻자 청소기를 그냥 갖다 놓는 것이 아니라 이렇게 하면 훨씬 더 상쾌해지고 살균 소독이 되는 느낌이 든다고 했다.
[최강야구 클로징] 시즌 20승 달성! MVP 발표와 아쉬운 이별 'Goodbye 원성준✨' | 최강야구 68회 | JTBC 231127 방송	https://www.youtube.com/embed/jdKTUvfDpmo	590,639	9,823	2023-11-27	선수들이 너무 잘해서 우승을 할 수 있을 것 같고 앞으로 많이 배우고 노력해서 프로그램 취재에 맞는 최강의 선수가 될 것이다.
＂오빠가 다음에 사면 되죠＂ 14살 연하와 소개팅한 김승수🫢 #미우새	https://www.youtube.com/embed/9hyj44M6nRo	1,047,806	6,213	2023-11-27	우리 아들이 이렇게 예쁜 극장에서 음식을 시켜 놓고 한 번도 해본 적이 없는데 결혼을 해야 되는 거 아니냐고 생각을 하고 있는 것 같아 어떻게 된 거냐고 물었다.
한동숙님 세팅 다녀왔습니다	https://www.youtube.com/embed/ioBdSnsp2sA	188,274	2,365	2023-11-29	마이크 세팅을 어떻게 해야 할지 몰라서 그냥 바닥에 놔뒀는데 마이크에서 쇳소리가 나는 것 같다고 했다.
옆반에 영어 선생님이 새로 오셨다	https://www.youtube.com/embed/tcq60k_8DjA	601,322	15,276	2023-11-28	우리 반 수업에 들어와 준 선생님께 감사하다고 말했다.
죄송한데.. 저 잘돼가는 분 있습니다!	https://www.youtube.com/embed/mqofZmHpWiM	1,242,984	35,081	2023-11-29	성혁 씨는 급한 일이 생겨서 영화를 못 볼 거 같다고 했는데 급한 일 있는 걸 깜빡 잊었다고 한다. 아 맞다 성혁 씨 오늘 저녁 시간 되면 못 본 영화 보러 가요 우리 아 좋아요 싸 내 약속 취소 안 하고 영화 보러 갈 수 있게 해 줄 수 있냐고 물었다.
$1 vs $10,000,000 Job!	https://www.youtube.com/embed/Wdjh81uH6FU	83,098,622	3,296,811	2023-11-25	우주비행사 훈련에 참가한 것에 대해 홍보를 위해 인터뷰를 했고 인터뷰 내용은 인터뷰를 통해 공개할 예정이다.
새벽 5시 기상, 따뜻한 집밥과 남편 도시락 / 맛있는 집밥을 위한 간편식 추천 The미식 국물요리 / Cook with Me	https://www.youtube.com/embed/FPeqw0LCg2Y	235,580	7,877	2023-11-28	The미식 소고기미역국은 상온에 보관할 수 있고 신선한 재료가 가득 담겨 있어 아이들도 안심하고 먹을 수 있다.
베트남 길거리에서 캐스팅한 여신급 모델이 회사로 찾아왔습니다	https://www.youtube.com/embed/zgqXIwg5x2o	160,935	7,422	2023-11-27	우리 한국 시어가 베트남에 진출하게 돼서 퀄리티가 너무 좋아 깜짝 놀랐는데 앞으로 어떻게 풀어나가야 될지 잘 관리를 해서 열심히 해보도록 하겠습니다 감사합니다 그리고 열심히 가요 잘 가요 잘 가요 잘 가요 잘 가요 잘 가요 잘 가요 잘 가요 잘 가요 잘 가요 잘 가요 잘 가요 잘 가요 잘 가요 잘 가요 잘 가요 잘 가요 잘 
삼식 집 근황+쁘띠 산악회 기흥투어(with 괴물쥐, 노돌리, 다주, 명훈, 서넹, 삼식)	https://www.youtube.com/embed/7hyBmXfrg7M	127,698	2,268	2023-11-27	우리 집 냉장고 문이 열리고 있는데 왜 이렇게 잘하냐고 왜 이렇게 잘하냐고 왜 이렇게 잘하냐고 왜 이렇게 잘하냐고 왜 이렇게 잘하냐고 왜 이렇게 잘하냐고 왜 이렇게 잘하냐고 왜 이렇게 잘하냐고 왜 이렇게 잘하냐고 왜 이렇게 잘하냐고 왜 이렇게 잘하냐고 왜 이렇게 잘하냐고 왜 이렇게 잘하냐고 이제 인사의 성공의 이유 다 어디 실까 어디 실까 
🌴 제주도로 태교여행을 다녀왔습니다. 태교를 빙자한 먹방의 향연 1탄!	https://www.youtube.com/embed/1mb-lpS1XXo	742,338	17,758	2023-11-25	제주도에 도착해서 밥을 먹고 산책을 하고 있는데 갑자기 누가 화장실에 갔다 왔다며 우리 집에 있는 빵을 사 달라고 해서 빵을 하나 샀다. 너무 맛있다 그래서 나도 빵을 하나 샀다. 너무 맛있다 그래서 나도 빵을 하나 샀다. 너무 맛있다 그래서 나도 빵을 하나 샀다. 너무 맛있다 그래서 나도 빵을 하나 샀다. 너무 맛있다 그래서 
웃소 우디 전역했습니다! (복귀 신고합니다🫡 )	https://www.youtube.com/embed/Noen5CvT_2g	884,627	21,384	2023-11-25	우디는 군대 생활을 하면서 제일 좋아하는 음식을 먹고 있는데 갑자기 화장실에서 갑자기 빵을 먹고 화장실 앞에 앉아서 이야기를 하는 것이 너무 웃겨서 웃소에 다시 합류했다.
연예인맛집에 갔더니 진짜 잘생긴 배우분을 만났습니다😳 서울 3대 고깃집 남영돈 먹방	https://www.youtube.com/embed/HsxX7VMM718	2,001,751	39,376	2023-11-25	용산 골목에 있는 남영돈은 삼겹살과 가브리살 등 고기가 진짜 부드럽고 맛있다.
코마 질문과 답변	https://www.youtube.com/embed/6JErCANsCWI	207,666	8,726	2023-11-26	유튜브 채널을 꾸준히 올릴 수 있는 마음가짐이 있냐고 묻자 유튜브 채널을 하는 이유는 유튜브가 알고리즘을 떨어뜨려서 조회수가 안 나오는 기적의 시기였기 때문이라고 답했다.
빵빵이의 흑화 ~!	https://www.youtube.com/embed/z-FGKPVGv9s	3,046,123	58,621	2023-11-23	게임 캐릭터는 어떻게 이겨 지냐고 하는 새끼가 왜 이렇게 사람이 변했냐고 했다. 게임 캐릭터는 어떻게 이겨 지냐고 하는 새끼가 왜 이렇게 사람이 변했냐고 했다. 게임 캐릭터는 어떻게 이겨 지냐고 하는 새끼가 왜 이렇게 사람이 변했냐고 했다.
겨울에 더 맛있고 잘자라는 12월에 심어도 대박나는 8가지 작물 김장채소 뽑은자리에 심을채소 추천 월동되는최고의식물 시골텃밭 #친환경#주말농장#건강#힐링#귀농#정원#전원생활	https://www.youtube.com/embed/X8QLyVf7cgM	510,033	7,378	2023-11-24	봄에 수확할 수 있는 채소는 봄에 파종을 하면 겨울 채소로 최고이다 봄에 수확할 수 있는 채소는 봄에 파종을 하면 겨울 채소로 최고이다 봄에 수확할 수 있는 채소는 봄에 파종을 하면 겨울 채소로 최고이다 봄에 수확할 수 있는 채소는 봄에 파종을 하면 겨울 채소로 최고이다 봄에 수확할 수 있는 
💀 이스라엘은 왜 헤즈볼라를 무서워할까? / 💀 헤즈볼라는 누구인가	https://www.youtube.com/embed/fJRjCdd1nSs	284,315	4,834	2023-11-25	레바논 내 시아파 세력은 레바논 정부가 레바논 내 평화 유지를 위해 무장 투쟁을 계속할 수밖에 없었고 레바논 정부가 레바논 내 평화 유지를 위해 무장 투쟁을 계속할 수밖에 없었다. 레바논 정부는 레바논 내 시아파 세력을 결집시키기 위해 무장 투쟁을 계속할 수밖에 없었다. 레바논 정부는 레바논 내 시아파 세력을 결집시키기 위해 무장 투쟁
Octopus vs Underwater Maze	https://www.youtube.com/embed/7__r4FVj-EI	16,004,774	544,646	2023-11-24	사시미가 물고기를 먹고 있는 것을 보고 물고기를 먹는 것을 보면 물고기를 먹는 것을 보면 물고기를 먹는 것을 보면 물고기를 먹는 것을 보면 물고기를 먹는 것을 보면 물고기를 먹는 것을 보면 물고기를 먹는 것을 보면 물고기를 먹는 것을 보면 물고기를 먹는 것을 보면 물고기를 먹는 것을 보면 물고기를 먹는 것을 먹는 것
러시아에서 좋은 친구가 생겼다 [94]	https://www.youtube.com/embed/GO2i-6XdvN4	93,190	4,917	2023-11-26	러시아는 전쟁이 빨리 끝나야 되는데 한국 음식을 먹으러 왔는데 혼자 온 게 아니라 러시아 친구와 같이 왔다. 나는 한국 음식을 먹고 싶어서 왔는데 혼자 온 게 아니라 러시아 친구와 같이 왔다. 나는 한국 음식을 먹고 싶어서 왔는데 한국 사람들이 너무 친절하게 대해 줘서 좋았다.
