title	embed_code	views	likes	upload_date	summary
동탄역까지 66만원 #shorts	https://www.youtube.com/embed/burgcw-h6to	조회수 303,328회	11,853	2023-12-17	마크에 진심인 사람들이 많았던 수서역 도착 레일 노드를 깔아주고 반대편에도 커넥터로 이어준다 터널 생성기로 터널을 만들어 줄 거예요 깔끔하게 뚫렸다 터널 생성기 생성기 <extra_id_23>
구독을 누르면 떨어집니다 #제페토 #상황극 #shorts	https://www.youtube.com/embed/nPuNXRkxqxg	조회수 129,744회	21,809	2023-12-17	좋아요를 누리면 속도가 느려지고 구독 빨리 떨어진다는데 갑자기 누가 구독하지 않겠지 한 명 늦었는데 구독한 사람 댓글 써 주면 좋겠다
지하철에 피바다가..?! 어딘가 으스스한 화제의 미스테리 지하철 8번출구 탈출하기!	https://www.youtube.com/embed/EZH0VJIPv1o	조회수 118,329회	1,787	2023-12-18	강남역 8번 출구에서 만나기로 했는데 사람들이 별로 없는 거 같다 이상 현상이 있으면 즉시 돌아가라고 했다 반대로 오면 된다 이상 현상 발견 시 다시 카운터 탈출할 수 있다 제발 탈출하자 <extra_id_23> <extra_id_24> <extra_id_25>
[공식Live] 2023 로스트아크 윈터 쇼케이스 / LOST ARK WINTER SHOWCASE	https://www.youtube.com/embed/FkP1kXEUNtM	조회수 747,769회	6,703	2023-12-17	피아노 연주를 할 때 사운드가 풍부하고 피아노 더 다르게 들리실 거 같다.
이해하면 무서운 이야기142	https://www.youtube.com/embed/H8uS-bcf7cY	조회수 231,884회	12,010	2023-12-17	나는 내가 꿈꾸는 모험을 떠난다 버스에서 내린 오토바이로 탈 수 있었다 잘 타고 가던 도중 아저씨가 갑자기 오토바이를 세웠다 가방에서 필요한 것을 꺼내려 했는데 다른 사람이 지나간 바람에 그만뒀다
시원하게! 담겨부러쓰!	https://www.youtube.com/embed/WKXQpz4KjdU	조회수 63,260회	671	2023-12-19	준수 씨 방으로 빨리 가서 킬 좀 해봐 아 진짜 재미없다 재미없다 아 아 진짜 진짜 재미없다 짜증난다 짜증난다 아 <extra_id_23>
마크 건축 고인물 특)	https://www.youtube.com/embed/YRCR-7f1rvo	조회수 348,971회	22,305	2023-12-18	TNT 설치 아직도 하고 있다고 있다고 나 몰라 3만 개 정도 설치했으려나 아 몰라 몰라 아 몰
진정한 전쟁이 시작된다!ㅣ3저그 vs 3테란 종족 대결!	https://www.youtube.com/embed/5gh6CfL8lsQ	조회수 101,713회	1,347	2023-12-18	저그가 발킬 위주라 드랍으로 가는 것은 효율에 별로 안 좋고 퀸까지 갈 수 있을지 모르겠다 일단 깨자 퀸을 사했으면 있을 것 같다 아 그리고 퀸 점사 잘 한다 형들 조심해 오 형 고마워 고마워 고마워
1vs1 당구게임 시청자들은 모두 경악했다	https://www.youtube.com/embed/cYDjSEiJ-Zs	조회수 110,797회	2,195	2023-12-19	당구 온라인으로 맞장을 걸어야 하는데 상대편이 흰 공을 아무데나 넣으면 파울이 되기 때문에 잘 쳐야 한다 그리고 내가 그 공을 넣을 수 있다 아 맞다 이거 맞다 <extra_id_23> <extra_id_24>
죄송합니다...............	https://www.youtube.com/embed/aMu7qQ9f8H8	조회수 22,342회	1,455	2023-12-19	트로픽 공양을 걸었는데 보기 조게 실패하고 말았다 벌칙으로 10만 원 나누면 해야 하는데 너무 죄송한 마음에 5만 기부를 하고 온 상태이다 구개 만점은 달성할 테니 응원할 분들은 좋아요 함께 댓글 남겨 주세요
"신임 디렉터와 대박난 로아 쇼케이스 요약ㄷㄷ ""수직 리미트 해제"""	https://www.youtube.com/embed/37qZBiVJI5s	조회수 208,443회	2,470	2023-12-18	아크 패시브 시스템을 통해 전투 특성을 바꿔 나갈 수 있고 도약 탭에서는 초각성 기와 스킬에 특별한 효과를 부유하거나 성능을 높일 있다 카제로스 레이드는 군단장 레이드와 연관성이 있는 형태로 지원될 예정이다
천하제일 블볼대회! 과연 어떤 스킬이 우승 할 것인가!? 레전드 급 핵꿀잼 보장! ㅋㅋㅋㅋ 【로블록스 블레이드 볼】	https://www.youtube.com/embed/K39XGwdIPDw	조회수 36,975회	2,247	2023-12-19	1번과 2번 경기는 풀대 랩처 대결로 풀을 쓸 것인지 질문을 했고 1번 선수가 풀을 사용하겠다고 했다 쓰면 쉽게 이길 수 있다 승리를 거뒀다 승리했다
리니지m / 반탑 최초 변신 풀컬렉은 나다	https://www.youtube.com/embed/4eZ5PMe7gLI	조회수 54,167회	1,315	2023-12-19	전설 변신 빵꾸를 하나라도 뽑으면 돈 번 것인데 아 진짜 개싸게 했다 아 했다 진짜 개싸게 개싸게 했다
삭제당한 계정이 6년만에 돌아왔다?? #로블록스	https://www.youtube.com/embed/LdggTV-oDKU	조회수 196,131회	8,667	2023-12-17	로블록스에서 계정 정지를 당해본 사람은 게임에서 욕을 했다가 1회 먹는 일은 꽤 흔한데 6년 만에 연구 정지로 삭제됐던 계정이 돌아왔다고 해 사층 계정인 이 계정은 제일브레이크 게임 제작자를 사칭했다고 소문이 돌고 있어 <extra_id_24>돌고 <extra_id_25>돌고 있어 <extra_id_26> <extra_id_27>한 것은 아닌지
그저 8번 출구 찾는 게임..이 게임이 역대급 공포게임인 이유...	https://www.youtube.com/embed/4vuig25fjfo	조회수 64,675회	1,798	2023-12-19	8번 추구 게임은 관찰하고 이상한 점이 있으면 뒤로 되돌아가고 게 없으면 앞으로 전진하는 것이다 나는 유튜브에 찾아 볼 아 진짜 무서워 눈물이 날 뻔했다 너무
일진은 못 올라가는 타워!? 진짜 일진이 한다면!?	https://www.youtube.com/embed/vy1-cyTnmpA	조회수 117,430회	1,998	2023-12-18	오빠 나 빨리 가자 가자 빨리 가자 빨리 간다 <extra_id_23>
충격적인 리제의 취향 .. ㅋㅋ	https://www.youtube.com/embed/pN1gmYmaBXU	조회수 82,834회	2,055	2023-12-19	리지 님 집 언제 지우세요 안 짓고 있으면 돼 집 밑에 TNT 깔려고 하는데 안 집 안 아 진짜 미안하다 미안해 미안해
아이소 궁 피하기 게임ㅋㅋㅋ	https://www.youtube.com/embed/JDpQ9g3ozf0	조회수 108,930회	3,368	2023-12-18	사이퍼 어서 오세요 오 거 대박 이거 나중에 영상으로 보면 대박 보면 대박이다 진짜 대박이었다
3랩되자마자 바텀 파괴하는 원딜 야스오 장인, 야유짱 장인초대석 [테스터훈]	https://www.youtube.com/embed/jmXWNN9wj5M	조회수 145,499회	1,109	2023-12-18	야소 원들 전문가는 원딜이 걸렸을 때 브라인을 잡고 버티는 것을 선호한다 그리고 상대가 피가 없을 원딜 야손을 쓰면 딜이 안 들어온다 그래서 딜교를 걸어준다 아 진짜 끝났다 이제 다시 시작한다 좋다 좋다 좋다 좋다
이다, 산악회에 가다 [로스트아크]	https://www.youtube.com/embed/jpIq9VIe2Wo	조회수 116,862회	1,759	2023-12-18	이다 형이 인파이터 트라이폴드 세팅을 해 줬는데 이 사람이 남남인 파 나오면 그 미친 놈이라고 오해를 불러 일으킬 수 있다 아 맞다 나는 잘 됐다 됐다 좋다 좋다 좋다
지금 트위치에서 아프리카로 넘어와야하는 이유ㅋㅋㅋ[23.12.17 #2]	https://www.youtube.com/embed/myEhzq-X2Q4	조회수 73,842회	499	2023-12-17	아프리카 TV 워터마크가 삭제되면서 새롭게 바뀌는 티 이름은 수비이다 아프리카 것은 기존의 가져간다의 뉴이다 자 강의의 주제를 공개하겠다 올드 공 공개 공개 하겠다
트위치 멸망 후폭풍	https://www.youtube.com/embed/9DeAn0ni4S4	조회수 629,161회	11,378	2023-12-16	아프리카 TV 다시보기의 강점은 유튜브의 특징을 네이버 안에서 구현할 수 있고 카페를 통해 축적된 커뮤니티 서비스 영향도 강력하기 때문에 네이버를 응원한다.
수직의 왕 대재학의 강림	https://www.youtube.com/embed/RV4lJdIC6Dk	조회수 134,730회	2,994	2023-12-18	브레이커 출시 되고 슈커 모코코 익스프레스 진행되고 아크라시아 투어 성이가 12월 20일에 데이 세 아바타 나와서 설 아까지 1월에 업데이트가 된다.
마음대로 원을 조종하세요!	https://www.youtube.com/embed/sZ8WTEyx9Ww	조회수 105,426회	12,565	2023-12-17	마인크래프트에서 생존하기 위해 밖으로 나가면 죽는 원을 마음대로 조정할 수 있다 구독을 누를 때마다 원이 점점 늘어나고 좋아요를 줄어듭니다 댓글을 달면 원이 랜덤하게 바뀝니다
역시 마카게야... - 마인크래프트 눕프로해커	https://www.youtube.com/embed/dG_xwjn0yeI	조회수 370,272회	11,289	2023-12-17	헤디 벨 씨는 마법 봉을 들고 있고 마법사 모자를 쓰고 지팡이를 있어 굉장히 귀엽고 퀄리티가 좋다 그리고 머리 스타일이 잘 봤다 킹 잘 봤다 <extra_id_23>
